Resource.[ResourceKey],Resource.[Resource],Resource.[ResourceSubGroupKey],Resource.[Resource Sub Group],Resource.[ResourceGroupKey],Resource.[Resource Group]
10000,Res-0-O,0,SubGroup-0,0,Group-0
10001,Res-1-O,0,SubGroup-0,0,Group-0
10002,Res-2-O,0,SubGroup-0,0,Group-0
10003,Res-3-O,0,SubGroup-0,0,Group-0
10004,Res-4-O,0,SubGroup-0,0,Group-0
10005,Res-5-O,0,SubGroup-0,0,Group-0
10006,Res-6-O,0,SubGroup-0,0,Group-0
10007,Res-7-O,0,SubGroup-0,0,Group-0
10008,Res-8-O,0,SubGroup-0,0,Group-0
10009,Res-9-O,0,SubGroup-0,0,Group-0
10010,Res-10-O,0,SubGroup-0,0,Group-0
10011,Res-11-O,0,SubGroup-0,0,Group-0
10012,Res-12-O,0,SubGroup-0,0,Group-0
10013,Res-13-O,0,SubGroup-0,0,Group-0
10014,Res-14-O,0,SubGroup-0,0,Group-0
10015,Res-15-O,0,SubGroup-0,0,Group-0
10016,Res-16-O,0,SubGroup-0,0,Group-0
10017,Res-17-O,0,SubGroup-0,0,Group-0
10018,Res-18-O,0,SubGroup-0,0,Group-0
10019,Res-19-O,0,SubGroup-0,0,Group-0
10020,Res-20-O,0,SubGroup-0,0,Group-0
10021,Res-21-O,0,SubGroup-0,0,Group-0
10022,Res-22-O,0,SubGroup-0,0,Group-0
10023,Res-23-O,0,SubGroup-0,0,Group-0
10024,Res-24-O,0,SubGroup-0,0,Group-0
10025,Res-25-O,0,SubGroup-0,0,Group-0
10026,Res-26-O,0,SubGroup-0,0,Group-0
10027,Res-27-O,0,SubGroup-0,0,Group-0
10028,Res-28-O,0,SubGroup-0,0,Group-0
10029,Res-29-O,0,SubGroup-0,0,Group-0
10030,Res-30-O,0,SubGroup-0,0,Group-0
10031,Res-31-O,0,SubGroup-0,0,Group-0
10032,Res-32-O,0,SubGroup-0,0,Group-0
10033,Res-33-O,0,SubGroup-0,0,Group-0
10034,Res-34-O,0,SubGroup-0,0,Group-0
10035,Res-35-O,0,SubGroup-0,0,Group-0
10036,Res-36-O,0,SubGroup-0,0,Group-0
10037,Res-37-O,0,SubGroup-0,0,Group-0
10038,Res-38-O,0,SubGroup-0,0,Group-0
10039,Res-39-O,0,SubGroup-0,0,Group-0
10040,Res-40-O,0,SubGroup-0,0,Group-0
10041,Res-41-O,0,SubGroup-0,0,Group-0
10042,Res-42-O,0,SubGroup-0,0,Group-0
10043,Res-43-O,0,SubGroup-0,0,Group-0
10044,Res-44-O,0,SubGroup-0,0,Group-0
10045,Res-45-O,0,SubGroup-0,0,Group-0
10046,Res-46-O,0,SubGroup-0,0,Group-0
10047,Res-47-O,0,SubGroup-0,0,Group-0
10048,Res-48-O,0,SubGroup-0,0,Group-0
10049,Res-49-O,0,SubGroup-0,0,Group-0
10050,Res-50-O,0,SubGroup-0,0,Group-0
10051,Res-51-O,0,SubGroup-0,0,Group-0
