Activity.[ActivityKey],Transport.[TransportKey],Product.[ProductKey],Version.[VersionKey],Activity Lead Time,Solver Activity End Date,Solver Activity Start Date
Act-5000-0,0,1,0,1,,
Act-5000-0,0,2,0,1,,
Act-5000-0,0,3,0,1,,
Act-5000-0,0,0,0,1,,
Act-5001-1,0,1,0,1,,
Act-5001-1,0,2,0,1,,
Act-5001-1,0,3,0,1,,
Act-5001-1,0,0,0,1,,
Act-5002-2,0,1,0,1,,
Act-5002-2,0,2,0,1,,
Act-5002-2,0,3,0,1,,
Act-5002-2,0,0,0,1,,
Act-5003-3,0,1,0,1,,
Act-5003-3,0,2,0,1,,
Act-5003-3,0,3,0,1,,
Act-5003-3,0,0,0,1,,
Act-5004-4,0,1,0,1,,
Act-5004-4,0,2,0,1,,
Act-5004-4,0,3,0,1,,
Act-5004-4,0,0,0,1,,
Act-5005-5,0,1,0,1,,
Act-5005-5,0,2,0,1,,
Act-5005-5,0,3,0,1,,
Act-5005-5,0,0,0,1,,
Act-5006-6,0,1,0,1,,
Act-5006-6,0,2,0,1,,
Act-5006-6,0,3,0,1,,
Act-5006-6,0,0,0,1,,
Act-5007-7,0,1,0,1,,
Act-5007-7,0,2,0,1,,
Act-5007-7,0,3,0,1,,
Act-5007-7,0,0,0,1,,
Act-5008-8,0,1,0,1,,
Act-5008-8,0,2,0,1,,
Act-5008-8,0,3,0,1,,
Act-5008-8,0,0,0,1,,
Act-5009-9,0,1,0,1,,
Act-5009-9,0,2,0,1,,
Act-5009-9,0,3,0,1,,
Act-5009-9,0,0,0,1,,
Act-5010-10,0,1,0,1,,
Act-5010-10,0,2,0,1,,
Act-5010-10,0,3,0,1,,
Act-5010-10,0,0,0,1,,
Act-5011-11,0,1,0,1,,
Act-5011-11,0,2,0,1,,
Act-5011-11,0,3,0,1,,
Act-5011-11,0,0,0,1,,
Act-5012-12,0,1,0,1,,
Act-5012-12,0,2,0,1,,
Act-5012-12,0,3,0,1,,
Act-5012-12,0,0,0,1,,
Act-5013-13,0,1,0,1,,
Act-5013-13,0,2,0,1,,
Act-5013-13,0,3,0,1,,
Act-5013-13,0,0,0,1,,
Act-5014-14,0,1,0,1,,
Act-5014-14,0,2,0,1,,
Act-5014-14,0,3,0,1,,
Act-5014-14,0,0,0,1,,
Act-5015-15,0,1,0,1,,
Act-5015-15,0,2,0,1,,
Act-5015-15,0,3,0,1,,
Act-5015-15,0,0,0,1,,
Act-5016-16,0,1,0,1,,
Act-5016-16,0,2,0,1,,
Act-5016-16,0,3,0,1,,
Act-5016-16,0,0,0,1,,
Act-5017-17,0,1,0,1,,
Act-5017-17,0,2,0,1,,
Act-5017-17,0,3,0,1,,
Act-5017-17,0,0,0,1,,
Act-5018-18,0,1,0,1,,
Act-5018-18,0,2,0,1,,
Act-5018-18,0,3,0,1,,
Act-5018-18,0,0,0,1,,
Act-5019-19,0,1,0,1,,
Act-5019-19,0,2,0,1,,
Act-5019-19,0,3,0,1,,
Act-5019-19,0,0,0,1,,
Act-5020-20,0,1,0,1,,
Act-5020-20,0,2,0,1,,
Act-5020-20,0,3,0,1,,
Act-5020-20,0,0,0,1,,
Act-5021-21,0,1,0,1,,
Act-5021-21,0,2,0,1,,
Act-5021-21,0,3,0,1,,
Act-5021-21,0,0,0,1,,
Act-5022-22,0,1,0,1,,
Act-5022-22,0,2,0,1,,
Act-5022-22,0,3,0,1,,
Act-5022-22,0,0,0,1,,
Act-5023-23,0,1,0,1,,
Act-5023-23,0,2,0,1,,
Act-5023-23,0,3,0,1,,
Act-5023-23,0,0,0,1,,
Act-5024-24,0,1,0,1,,
Act-5024-24,0,2,0,1,,
Act-5024-24,0,3,0,1,,
Act-5024-24,0,0,0,1,,
Act-5025-25,0,1,0,1,,
Act-5025-25,0,2,0,1,,
Act-5025-25,0,3,0,1,,
Act-5025-25,0,0,0,1,,
Act-5026-26,0,1,0,1,,
Act-5026-26,0,2,0,1,,
Act-5026-26,0,3,0,1,,
Act-5026-26,0,0,0,1,,
Act-5027-27,0,1,0,1,,
Act-5027-27,0,2,0,1,,
Act-5027-27,0,3,0,1,,
Act-5027-27,0,0,0,1,,
Act-5028-28,0,1,0,1,,
Act-5028-28,0,2,0,1,,
Act-5028-28,0,3,0,1,,
Act-5028-28,0,0,0,1,,
Act-5029-29,0,1,0,1,,
Act-5029-29,0,2,0,1,,
Act-5029-29,0,3,0,1,,
Act-5029-29,0,0,0,1,,
Act-5030-30,0,1,0,1,,
Act-5030-30,0,2,0,1,,
Act-5030-30,0,3,0,1,,
Act-5030-30,0,0,0,1,,
Act-5031-31,0,1,0,1,,
Act-5031-31,0,2,0,1,,
Act-5031-31,0,3,0,1,,
Act-5031-31,0,0,0,1,,
Act-5032-32,0,1,0,1,,
Act-5032-32,0,2,0,1,,
Act-5032-32,0,3,0,1,,
Act-5032-32,0,0,0,1,,
Act-5033-33,0,1,0,1,,
Act-5033-33,0,2,0,1,,
Act-5033-33,0,3,0,1,,
Act-5033-33,0,0,0,1,,
Act-5034-34,0,1,0,1,,
Act-5034-34,0,2,0,1,,
Act-5034-34,0,3,0,1,,
Act-5034-34,0,0,0,1,,
Act-5035-35,0,1,0,1,,
Act-5035-35,0,2,0,1,,
Act-5035-35,0,3,0,1,,
Act-5035-35,0,0,0,1,,
Act-5036-36,0,1,0,1,,
Act-5036-36,0,2,0,1,,
Act-5036-36,0,3,0,1,,
Act-5036-36,0,0,0,1,,
Act-5037-37,0,1,0,1,,
Act-5037-37,0,2,0,1,,
Act-5037-37,0,3,0,1,,
Act-5037-37,0,0,0,1,,
Act-5038-38,0,1,0,1,,
Act-5038-38,0,2,0,1,,
Act-5038-38,0,3,0,1,,
Act-5038-38,0,0,0,1,,
Act-5039-39,0,1,0,1,,
Act-5039-39,0,2,0,1,,
Act-5039-39,0,3,0,1,,
Act-5039-39,0,0,0,1,,
Act-5040-40,0,1,0,1,,
Act-5040-40,0,2,0,1,,
Act-5040-40,0,3,0,1,,
Act-5040-40,0,0,0,1,,
Act-5041-41,0,1,0,1,,
Act-5041-41,0,2,0,1,,
Act-5041-41,0,3,0,1,,
Act-5041-41,0,0,0,1,,
Act-5042-42,0,1,0,1,,
Act-5042-42,0,2,0,1,,
Act-5042-42,0,3,0,1,,
Act-5042-42,0,0,0,1,,
Act-5043-43,0,1,0,1,,
Act-5043-43,0,2,0,1,,
Act-5043-43,0,3,0,1,,
Act-5043-43,0,0,0,1,,
Act-5044-44,0,1,0,1,,
Act-5044-44,0,2,0,1,,
Act-5044-44,0,3,0,1,,
Act-5044-44,0,0,0,1,,
Act-5045-45,0,1,0,1,,
Act-5045-45,0,2,0,1,,
Act-5045-45,0,3,0,1,,
Act-5045-45,0,0,0,1,,
Act-5046-46,0,1,0,1,,
Act-5046-46,0,2,0,1,,
Act-5046-46,0,3,0,1,,
Act-5046-46,0,0,0,1,,
Act-5047-47,0,1,0,1,,
Act-5047-47,0,2,0,1,,
Act-5047-47,0,3,0,1,,
Act-5047-47,0,0,0,1,,
Act-5048-48,0,1,0,1,,
Act-5048-48,0,2,0,1,,
Act-5048-48,0,3,0,1,,
Act-5048-48,0,0,0,1,,
Act-5049-49,0,1,0,1,,
Act-5049-49,0,2,0,1,,
Act-5049-49,0,3,0,1,,
Act-5049-49,0,0,0,1,,
Act-5050-50,0,1,0,1,,
Act-5050-50,0,2,0,1,,
Act-5050-50,0,3,0,1,,
Act-5050-50,0,0,0,1,,
Act-5051-51,0,1,0,1,,
Act-5051-51,0,2,0,1,,
Act-5051-51,0,3,0,1,,
Act-5051-51,0,0,0,1,,
Act-5052-52,0,1,0,1,,
Act-5052-52,0,2,0,1,,
Act-5052-52,0,3,0,1,,
Act-5052-52,0,0,0,1,,
Act-5053-53,0,1,0,1,,
Act-5053-53,0,2,0,1,,
Act-5053-53,0,3,0,1,,
Act-5053-53,0,0,0,1,,
Act-5054-54,0,1,0,1,,
Act-5054-54,0,2,0,1,,
Act-5054-54,0,3,0,1,,
Act-5054-54,0,0,0,1,,
Act-5055-55,0,1,0,1,,
Act-5055-55,0,2,0,1,,
Act-5055-55,0,3,0,1,,
Act-5055-55,0,0,0,1,,
Act-5056-56,0,1,0,1,,
Act-5056-56,0,2,0,1,,
Act-5056-56,0,3,0,1,,
Act-5056-56,0,0,0,1,,
Act-5057-57,0,1,0,1,,
Act-5057-57,0,2,0,1,,
Act-5057-57,0,3,0,1,,
Act-5057-57,0,0,0,1,,
Act-5058-58,0,1,0,1,,
Act-5058-58,0,2,0,1,,
Act-5058-58,0,3,0,1,,
Act-5058-58,0,0,0,1,,
Act-5059-59,0,1,0,1,,
Act-5059-59,0,2,0,1,,
Act-5059-59,0,3,0,1,,
Act-5059-59,0,0,0,1,,
Act-5060-60,0,1,0,1,,
Act-5060-60,0,2,0,1,,
Act-5060-60,0,3,0,1,,
Act-5060-60,0,0,0,1,,
Act-5061-61,0,1,0,1,,
Act-5061-61,0,2,0,1,,
Act-5061-61,0,3,0,1,,
Act-5061-61,0,0,0,1,,
Act-5062-62,0,1,0,1,,
Act-5062-62,0,2,0,1,,
Act-5062-62,0,3,0,1,,
Act-5062-62,0,0,0,1,,
Act-5063-63,0,1,0,1,,
Act-5063-63,0,2,0,1,,
Act-5063-63,0,3,0,1,,
Act-5063-63,0,0,0,1,,
Act-5064-64,0,1,0,1,,
Act-5064-64,0,2,0,1,,
Act-5064-64,0,3,0,1,,
Act-5064-64,0,0,0,1,,
Act-5065-65,0,1,0,1,,
Act-5065-65,0,2,0,1,,
Act-5065-65,0,3,0,1,,
Act-5065-65,0,0,0,1,,
Act-5066-66,0,1,0,1,,
Act-5066-66,0,2,0,1,,
Act-5066-66,0,3,0,1,,
Act-5066-66,0,0,0,1,,
Act-5067-67,0,1,0,1,,
Act-5067-67,0,2,0,1,,
Act-5067-67,0,3,0,1,,
Act-5067-67,0,0,0,1,,
Act-5068-68,0,1,0,1,,
Act-5068-68,0,2,0,1,,
Act-5068-68,0,3,0,1,,
Act-5068-68,0,0,0,1,,
Act-5069-69,0,1,0,1,,
Act-5069-69,0,2,0,1,,
Act-5069-69,0,3,0,1,,
Act-5069-69,0,0,0,1,,
Act-5070-70,0,1,0,1,,
Act-5070-70,0,2,0,1,,
Act-5070-70,0,3,0,1,,
Act-5070-70,0,0,0,1,,
Act-5071-71,0,1,0,1,,
Act-5071-71,0,2,0,1,,
Act-5071-71,0,3,0,1,,
Act-5071-71,0,0,0,1,,
Act-5072-72,0,1,0,1,,
Act-5072-72,0,2,0,1,,
Act-5072-72,0,3,0,1,,
Act-5072-72,0,0,0,1,,
Act-5073-73,0,1,0,1,,
Act-5073-73,0,2,0,1,,
Act-5073-73,0,3,0,1,,
Act-5073-73,0,0,0,1,,
Act-5074-74,0,1,0,1,,
Act-5074-74,0,2,0,1,,
Act-5074-74,0,3,0,1,,
Act-5074-74,0,0,0,1,,
Act-5075-75,0,1,0,1,,
Act-5075-75,0,2,0,1,,
Act-5075-75,0,3,0,1,,
Act-5075-75,0,0,0,1,,
Act-5076-76,0,1,0,1,,
Act-5076-76,0,2,0,1,,
Act-5076-76,0,3,0,1,,
Act-5076-76,0,0,0,1,,
Act-5077-77,0,1,0,1,,
Act-5077-77,0,2,0,1,,
Act-5077-77,0,3,0,1,,
Act-5077-77,0,0,0,1,,
Act-5078-78,0,1,0,1,,
Act-5078-78,0,2,0,1,,
Act-5078-78,0,3,0,1,,
Act-5078-78,0,0,0,1,,
Act-5079-79,0,1,0,1,,
Act-5079-79,0,2,0,1,,
Act-5079-79,0,3,0,1,,
Act-5079-79,0,0,0,1,,
Act-5000-80,0,1,0,1,,
Act-5000-80,0,2,0,1,,
Act-5000-80,0,3,0,1,,
Act-5000-80,0,0,0,1,,
Act-5001-81,0,1,0,1,,
Act-5001-81,0,2,0,1,,
Act-5001-81,0,3,0,1,,
Act-5001-81,0,0,0,1,,
Act-5002-82,0,1,0,1,,
Act-5002-82,0,2,0,1,,
Act-5002-82,0,3,0,1,,
Act-5002-82,0,0,0,1,,
Act-5003-83,0,1,0,1,,
Act-5003-83,0,2,0,1,,
Act-5003-83,0,3,0,1,,
Act-5003-83,0,0,0,1,,
Act-5004-84,0,1,0,1,,
Act-5004-84,0,2,0,1,,
Act-5004-84,0,3,0,1,,
Act-5004-84,0,0,0,1,,
Act-5005-85,0,1,0,1,,
Act-5005-85,0,2,0,1,,
Act-5005-85,0,3,0,1,,
Act-5005-85,0,0,0,1,,
Act-5006-86,0,1,0,1,,
Act-5006-86,0,2,0,1,,
Act-5006-86,0,3,0,1,,
Act-5006-86,0,0,0,1,,
Act-5007-87,0,1,0,1,,
Act-5007-87,0,2,0,1,,
Act-5007-87,0,3,0,1,,
Act-5007-87,0,0,0,1,,
Act-5008-88,0,1,0,1,,
Act-5008-88,0,2,0,1,,
Act-5008-88,0,3,0,1,,
Act-5008-88,0,0,0,1,,
Act-5009-89,0,1,0,1,,
Act-5009-89,0,2,0,1,,
Act-5009-89,0,3,0,1,,
Act-5009-89,0,0,0,1,,
Act-5010-90,0,1,0,1,,
Act-5010-90,0,2,0,1,,
Act-5010-90,0,3,0,1,,
Act-5010-90,0,0,0,1,,
Act-5011-91,0,1,0,1,,
Act-5011-91,0,2,0,1,,
Act-5011-91,0,3,0,1,,
Act-5011-91,0,0,0,1,,
Act-5012-92,0,1,0,1,,
Act-5012-92,0,2,0,1,,
Act-5012-92,0,3,0,1,,
Act-5012-92,0,0,0,1,,
Act-5013-93,0,1,0,1,,
Act-5013-93,0,2,0,1,,
Act-5013-93,0,3,0,1,,
Act-5013-93,0,0,0,1,,
Act-5014-94,0,1,0,1,,
Act-5014-94,0,2,0,1,,
Act-5014-94,0,3,0,1,,
Act-5014-94,0,0,0,1,,
Act-5015-95,0,1,0,1,,
Act-5015-95,0,2,0,1,,
Act-5015-95,0,3,0,1,,
Act-5015-95,0,0,0,1,,
Act-5016-96,0,1,0,1,,
Act-5016-96,0,2,0,1,,
Act-5016-96,0,3,0,1,,
Act-5016-96,0,0,0,1,,
Act-5017-97,0,1,0,1,,
Act-5017-97,0,2,0,1,,
Act-5017-97,0,3,0,1,,
Act-5017-97,0,0,0,1,,
Act-5018-98,0,1,0,1,,
Act-5018-98,0,2,0,1,,
Act-5018-98,0,3,0,1,,
Act-5018-98,0,0,0,1,,
Act-5019-99,0,1,0,1,,
Act-5019-99,0,2,0,1,,
Act-5019-99,0,3,0,1,,
Act-5019-99,0,0,0,1,,
Act-5020-100,0,1,0,1,,
Act-5020-100,0,2,0,1,,
Act-5020-100,0,3,0,1,,
Act-5020-100,0,0,0,1,,
Act-5021-101,0,1,0,1,,
Act-5021-101,0,2,0,1,,
Act-5021-101,0,3,0,1,,
Act-5021-101,0,0,0,1,,
Act-5022-102,0,1,0,1,,
Act-5022-102,0,2,0,1,,
Act-5022-102,0,3,0,1,,
Act-5022-102,0,0,0,1,,
Act-5023-103,0,1,0,1,,
Act-5023-103,0,2,0,1,,
Act-5023-103,0,3,0,1,,
Act-5023-103,0,0,0,1,,
Act-5024-104,0,1,0,1,,
Act-5024-104,0,2,0,1,,
Act-5024-104,0,3,0,1,,
Act-5024-104,0,0,0,1,,
Act-5025-105,0,1,0,1,,
Act-5025-105,0,2,0,1,,
Act-5025-105,0,3,0,1,,
Act-5025-105,0,0,0,1,,
Act-5026-106,0,1,0,1,,
Act-5026-106,0,2,0,1,,
Act-5026-106,0,3,0,1,,
Act-5026-106,0,0,0,1,,
Act-5027-107,0,1,0,1,,
Act-5027-107,0,2,0,1,,
Act-5027-107,0,3,0,1,,
Act-5027-107,0,0,0,1,,
Act-5028-108,0,1,0,1,,
Act-5028-108,0,2,0,1,,
Act-5028-108,0,3,0,1,,
Act-5028-108,0,0,0,1,,
Act-5029-109,0,1,0,1,,
Act-5029-109,0,2,0,1,,
Act-5029-109,0,3,0,1,,
Act-5029-109,0,0,0,1,,
Act-5030-110,0,1,0,1,,
Act-5030-110,0,2,0,1,,
Act-5030-110,0,3,0,1,,
Act-5030-110,0,0,0,1,,
Act-5031-111,0,1,0,1,,
Act-5031-111,0,2,0,1,,
Act-5031-111,0,3,0,1,,
Act-5031-111,0,0,0,1,,
Act-5032-112,0,1,0,1,,
Act-5032-112,0,2,0,1,,
Act-5032-112,0,3,0,1,,
Act-5032-112,0,0,0,1,,
Act-5033-113,0,1,0,1,,
Act-5033-113,0,2,0,1,,
Act-5033-113,0,3,0,1,,
Act-5033-113,0,0,0,1,,
Act-5034-114,0,1,0,1,,
Act-5034-114,0,2,0,1,,
Act-5034-114,0,3,0,1,,
Act-5034-114,0,0,0,1,,
Act-5035-115,0,1,0,1,,
Act-5035-115,0,2,0,1,,
Act-5035-115,0,3,0,1,,
Act-5035-115,0,0,0,1,,
Act-5036-116,0,1,0,1,,
Act-5036-116,0,2,0,1,,
Act-5036-116,0,3,0,1,,
Act-5036-116,0,0,0,1,,
Act-5037-117,0,1,0,1,,
Act-5037-117,0,2,0,1,,
Act-5037-117,0,3,0,1,,
Act-5037-117,0,0,0,1,,
Act-5038-118,0,1,0,1,,
Act-5038-118,0,2,0,1,,
Act-5038-118,0,3,0,1,,
Act-5038-118,0,0,0,1,,
Act-5039-119,0,1,0,1,,
Act-5039-119,0,2,0,1,,
Act-5039-119,0,3,0,1,,
Act-5039-119,0,0,0,1,,
Act-5040-120,0,1,0,1,,
Act-5040-120,0,2,0,1,,
Act-5040-120,0,3,0,1,,
Act-5040-120,0,0,0,1,,
Act-5041-121,0,1,0,1,,
Act-5041-121,0,2,0,1,,
Act-5041-121,0,3,0,1,,
Act-5041-121,0,0,0,1,,
Act-5042-122,0,1,0,1,,
Act-5042-122,0,2,0,1,,
Act-5042-122,0,3,0,1,,
Act-5042-122,0,0,0,1,,
Act-5043-123,0,1,0,1,,
Act-5043-123,0,2,0,1,,
Act-5043-123,0,3,0,1,,
Act-5043-123,0,0,0,1,,
Act-5044-124,0,1,0,1,,
Act-5044-124,0,2,0,1,,
Act-5044-124,0,3,0,1,,
Act-5044-124,0,0,0,1,,
Act-5045-125,0,1,0,1,,
Act-5045-125,0,2,0,1,,
Act-5045-125,0,3,0,1,,
Act-5045-125,0,0,0,1,,
Act-5046-126,0,1,0,1,,
Act-5046-126,0,2,0,1,,
Act-5046-126,0,3,0,1,,
Act-5046-126,0,0,0,1,,
Act-5047-127,0,1,0,1,,
Act-5047-127,0,2,0,1,,
Act-5047-127,0,3,0,1,,
Act-5047-127,0,0,0,1,,
Act-5048-128,0,1,0,1,,
Act-5048-128,0,2,0,1,,
Act-5048-128,0,3,0,1,,
Act-5048-128,0,0,0,1,,
Act-5049-129,0,1,0,1,,
Act-5049-129,0,2,0,1,,
Act-5049-129,0,3,0,1,,
Act-5049-129,0,0,0,1,,
Act-5050-130,0,1,0,1,,
Act-5050-130,0,2,0,1,,
Act-5050-130,0,3,0,1,,
Act-5050-130,0,0,0,1,,
Act-5051-131,0,1,0,1,,
Act-5051-131,0,2,0,1,,
Act-5051-131,0,3,0,1,,
Act-5051-131,0,0,0,1,,
Act-5052-132,0,1,0,1,,
Act-5052-132,0,2,0,1,,
Act-5052-132,0,3,0,1,,
