Activity.[ActivityKey],Transport.[TransportKey],Product.[ProductKey],Resource.[ResourceKey],Location.[LocationKey],Version.[VersionKey],Capacity Category,Capacity Consumption Graph Association,Capacity Consumption Qty Per,Capacity Graph Priority
Act-5000-0,0,1,Res-5000,5000,0,I,1,1,1
Act-5000-0,0,1,Res-5000-I,5000,0,I,1,1,1
Act-5000-0,0,1,Res-5000-0,0,0,,1,1,1
Act-5000-0,0,1,Res-0-O,0,0,O,1,1,1
Act-5000-0,0,2,Res-5000,5000,0,I,1,1,1
Act-5000-0,0,2,Res-5000-I,5000,0,I,1,1,1
Act-5000-0,0,2,Res-5000-0,0,0,,1,1,1
Act-5000-0,0,2,Res-0-O,0,0,O,1,1,1
Act-5000-0,0,3,Res-5000,5000,0,I,1,1,1
Act-5000-0,0,3,Res-5000-I,5000,0,I,1,1,1
Act-5000-0,0,3,Res-5000-0,0,0,,1,1,1
Act-5000-0,0,3,Res-0-O,0,0,O,1,1,1
Act-5000-0,0,0,Res-5000,5000,0,I,1,1,1
Act-5000-0,0,0,Res-5000-I,5000,0,I,1,1,1
Act-5000-0,0,0,Res-5000-0,0,0,,1,1,1
Act-5000-0,0,0,Res-0-O,0,0,O,1,1,1
Act-5001-1,0,1,Res-5001,5001,0,I,1,1,1
Act-5001-1,0,1,Res-5001-I,5001,0,I,1,1,1
Act-5001-1,0,1,Res-5001-1,1,0,,1,1,1
Act-5001-1,0,1,Res-1-O,1,0,O,1,1,1
Act-5001-1,0,2,Res-5001,5001,0,I,1,1,1
Act-5001-1,0,2,Res-5001-I,5001,0,I,1,1,1
Act-5001-1,0,2,Res-5001-1,1,0,,1,1,1
Act-5001-1,0,2,Res-1-O,1,0,O,1,1,1
Act-5001-1,0,3,Res-5001,5001,0,I,1,1,1
Act-5001-1,0,3,Res-5001-I,5001,0,I,1,1,1
Act-5001-1,0,3,Res-5001-1,1,0,,1,1,1
Act-5001-1,0,3,Res-1-O,1,0,O,1,1,1
Act-5001-1,0,0,Res-5001,5001,0,I,1,1,1
Act-5001-1,0,0,Res-5001-I,5001,0,I,1,1,1
Act-5001-1,0,0,Res-5001-1,1,0,,1,1,1
Act-5001-1,0,0,Res-1-O,1,0,O,1,1,1
Act-5002-2,0,1,Res-5002,5002,0,I,1,1,1
Act-5002-2,0,1,Res-5002-I,5002,0,I,1,1,1
Act-5002-2,0,1,Res-5002-2,2,0,,1,1,1
Act-5002-2,0,1,Res-2-O,2,0,O,1,1,1
Act-5002-2,0,2,Res-5002,5002,0,I,1,1,1
Act-5002-2,0,2,Res-5002-I,5002,0,I,1,1,1
Act-5002-2,0,2,Res-5002-2,2,0,,1,1,1
Act-5002-2,0,2,Res-2-O,2,0,O,1,1,1
Act-5002-2,0,3,Res-5002,5002,0,I,1,1,1
Act-5002-2,0,3,Res-5002-I,5002,0,I,1,1,1
Act-5002-2,0,3,Res-5002-2,2,0,,1,1,1
Act-5002-2,0,3,Res-2-O,2,0,O,1,1,1
Act-5002-2,0,0,Res-5002,5002,0,I,1,1,1
Act-5002-2,0,0,Res-5002-I,5002,0,I,1,1,1
Act-5002-2,0,0,Res-5002-2,2,0,,1,1,1
Act-5002-2,0,0,Res-2-O,2,0,O,1,1,1
Act-5003-3,0,1,Res-5003,5003,0,I,1,1,1
Act-5003-3,0,1,Res-5003-I,5003,0,I,1,1,1
Act-5003-3,0,1,Res-5003-3,3,0,,1,1,1
Act-5003-3,0,1,Res-3-O,3,0,O,1,1,1
Act-5003-3,0,2,Res-5003,5003,0,I,1,1,1
Act-5003-3,0,2,Res-5003-I,5003,0,I,1,1,1
Act-5003-3,0,2,Res-5003-3,3,0,,1,1,1
Act-5003-3,0,2,Res-3-O,3,0,O,1,1,1
Act-5003-3,0,3,Res-5003,5003,0,I,1,1,1
Act-5003-3,0,3,Res-5003-I,5003,0,I,1,1,1
Act-5003-3,0,3,Res-5003-3,3,0,,1,1,1
Act-5003-3,0,3,Res-3-O,3,0,O,1,1,1
Act-5003-3,0,0,Res-5003,5003,0,I,1,1,1
Act-5003-3,0,0,Res-5003-I,5003,0,I,1,1,1
Act-5003-3,0,0,Res-5003-3,3,0,,1,1,1
Act-5003-3,0,0,Res-3-O,3,0,O,1,1,1
Act-5004-4,0,1,Res-5004,5004,0,I,1,1,1
Act-5004-4,0,1,Res-5004-I,5004,0,I,1,1,1
Act-5004-4,0,1,Res-5004-4,4,0,,1,1,1
Act-5004-4,0,1,Res-4-O,4,0,O,1,1,1
Act-5004-4,0,2,Res-5004,5004,0,I,1,1,1
Act-5004-4,0,2,Res-5004-I,5004,0,I,1,1,1
Act-5004-4,0,2,Res-5004-4,4,0,,1,1,1
Act-5004-4,0,2,Res-4-O,4,0,O,1,1,1
Act-5004-4,0,3,Res-5004,5004,0,I,1,1,1
Act-5004-4,0,3,Res-5004-I,5004,0,I,1,1,1
Act-5004-4,0,3,Res-5004-4,4,0,,1,1,1
Act-5004-4,0,3,Res-4-O,4,0,O,1,1,1
Act-5004-4,0,0,Res-5004,5004,0,I,1,1,1
Act-5004-4,0,0,Res-5004-I,5004,0,I,1,1,1
Act-5004-4,0,0,Res-5004-4,4,0,,1,1,1
