Item.[ItemKey],Location.[LocationKey],Time.[FiscalWeekKey],Version.[VersionKey],BOH,Expected Receipts
1,0,W0-2017,0,250,
1,0,W1-2017,0,,100
1,0,W2-2017,0,,100
2,0,W0-2017,0,250,
2,0,W1-2017,0,,100
2,0,W2-2017,0,,100
3,0,W0-2017,0,250,
3,0,W1-2017,0,,100
3,0,W2-2017,0,,100
0,0,W0-2017,0,200,
0,0,W1-2017,0,,100
0,0,W2-2017,0,,100
1,1,W0-2017,0,150,
1,1,W1-2017,0,,100
1,1,W2-2017,0,,100
2,1,W0-2017,0,200,
2,1,W1-2017,0,,100
2,1,W2-2017,0,,100
3,1,W0-2017,0,250,
3,1,W1-2017,0,,100
3,1,W2-2017,0,,100
0,1,W0-2017,0,200,
0,1,W1-2017,0,,100
0,1,W2-2017,0,,100
1,2,W0-2017,0,250,
1,2,W1-2017,0,,100
1,2,W2-2017,0,,100
2,2,W0-2017,0,150,
2,2,W1-2017,0,,100
2,2,W2-2017,0,,100
3,2,W0-2017,0,150,
3,2,W1-2017,0,,100
3,2,W2-2017,0,,100
0,2,W0-2017,0,200,
0,2,W1-2017,0,,100
0,2,W2-2017,0,,100
1,3,W0-2017,0,200,
1,3,W1-2017,0,,100
1,3,W2-2017,0,,100
2,3,W0-2017,0,200,
2,3,W1-2017,0,,100
2,3,W2-2017,0,,100
3,3,W0-2017,0,250,
3,3,W1-2017,0,,100
3,3,W2-2017,0,,100
0,3,W0-2017,0,150,
0,3,W1-2017,0,,100
0,3,W2-2017,0,,100
1,4,W0-2017,0,250,
1,4,W1-2017,0,,100
1,4,W2-2017,0,,100
2,4,W0-2017,0,250,
2,4,W1-2017,0,,100
2,4,W2-2017,0,,100
3,4,W0-2017,0,250,
3,4,W1-2017,0,,100
3,4,W2-2017,0,,100
0,4,W0-2017,0,150,
0,4,W1-2017,0,,100
0,4,W2-2017,0,,100
1,5,W0-2017,0,250,
1,5,W1-2017,0,,100
1,5,W2-2017,0,,100
2,5,W0-2017,0,250,
2,5,W1-2017,0,,100
2,5,W2-2017,0,,100
3,5,W0-2017,0,250,
3,5,W1-2017,0,,100
3,5,W2-2017,0,,100
0,5,W0-2017,0,150,
0,5,W1-2017,0,,100
0,5,W2-2017,0,,100
1,6,W0-2017,0,250,
1,6,W1-2017,0,,100
1,6,W2-2017,0,,100
2,6,W0-2017,0,200,
2,6,W1-2017,0,,100
2,6,W2-2017,0,,100
3,6,W0-2017,0,250,
3,6,W1-2017,0,,100
3,6,W2-2017,0,,100
0,6,W0-2017,0,250,
0,6,W1-2017,0,,100
0,6,W2-2017,0,,100
1,7,W0-2017,0,200,
1,7,W1-2017,0,,100
1,7,W2-2017,0,,100
2,7,W0-2017,0,150,
2,7,W1-2017,0,,100
2,7,W2-2017,0,,100
3,7,W0-2017,0,150,
3,7,W1-2017,0,,100
3,7,W2-2017,0,,100
0,7,W0-2017,0,200,
0,7,W1-2017,0,,100
0,7,W2-2017,0,,100
1,8,W0-2017,0,150,
1,8,W1-2017,0,,100
1,8,W2-2017,0,,100
2,8,W0-2017,0,250,
2,8,W1-2017,0,,100
2,8,W2-2017,0,,100
3,8,W0-2017,0,200,
3,8,W1-2017,0,,100
3,8,W2-2017,0,,100
0,8,W0-2017,0,250,
0,8,W1-2017,0,,100
0,8,W2-2017,0,,100
1,9,W0-2017,0,150,
1,9,W1-2017,0,,100
1,9,W2-2017,0,,100
2,9,W0-2017,0,200,
2,9,W1-2017,0,,100
2,9,W2-2017,0,,100
3,9,W0-2017,0,200,
3,9,W1-2017,0,,100
3,9,W2-2017,0,,100
0,9,W0-2017,0,250,
0,9,W1-2017,0,,100
0,9,W2-2017,0,,100
1,10,W0-2017,0,200,
1,10,W1-2017,0,,100
1,10,W2-2017,0,,100
2,10,W0-2017,0,250,
2,10,W1-2017,0,,100
2,10,W2-2017,0,,100
3,10,W0-2017,0,150,
3,10,W1-2017,0,,100
3,10,W2-2017,0,,100
0,10,W0-2017,0,150,
0,10,W1-2017,0,,100
0,10,W2-2017,0,,100
1,11,W0-2017,0,250,
1,11,W1-2017,0,,100
