Activity.[ActivityKey],Transport.[TransportKey],Product.[ProductKey],Item.[ItemKey],Location.[LocationKey],Version.[VersionKey],Material Production Graph Association,Material Production Min Qty,Material Production Multiple Qty,Material Production Priority,Material Production Qty Per,No Build
Act-5000-0,0,1,1,0,0,1,50,25,1,1,
Act-5000-0,0,2,2,0,0,1,50,25,1,1,
Act-5000-0,0,3,3,0,0,1,50,25,1,1,
Act-5000-0,0,0,0,0,0,1,50,25,1,1,
Act-5001-1,0,1,1,1,0,1,50,25,1,1,
Act-5001-1,0,2,2,1,0,1,50,25,1,1,
Act-5001-1,0,3,3,1,0,1,50,25,1,1,
Act-5001-1,0,0,0,1,0,1,50,25,1,1,
Act-5002-2,0,1,1,2,0,1,50,25,1,1,
Act-5002-2,0,2,2,2,0,1,50,25,1,1,
Act-5002-2,0,3,3,2,0,1,50,25,1,1,
Act-5002-2,0,0,0,2,0,1,50,25,1,1,
Act-5003-3,0,1,1,3,0,1,50,25,1,1,
Act-5003-3,0,2,2,3,0,1,50,25,1,1,
Act-5003-3,0,3,3,3,0,1,50,25,1,1,
Act-5003-3,0,0,0,3,0,1,50,25,1,1,
Act-5004-4,0,1,1,4,0,1,50,25,1,1,
Act-5004-4,0,2,2,4,0,1,50,25,1,1,
Act-5004-4,0,3,3,4,0,1,50,25,1,1,
Act-5004-4,0,0,0,4,0,1,50,25,1,1,
Act-5005-5,0,1,1,5,0,1,50,25,1,1,
Act-5005-5,0,2,2,5,0,1,50,25,1,1,
Act-5005-5,0,3,3,5,0,1,50,25,1,1,
Act-5005-5,0,0,0,5,0,1,50,25,1,1,
Act-5006-6,0,1,1,6,0,1,50,25,1,1,
Act-5006-6,0,2,2,6,0,1,50,25,1,1,
Act-5006-6,0,3,3,6,0,1,50,25,1,1,
Act-5006-6,0,0,0,6,0,1,50,25,1,1,
Act-5007-7,0,1,1,7,0,1,50,25,1,1,
Act-5007-7,0,2,2,7,0,1,50,25,1,1,
Act-5007-7,0,3,3,7,0,1,50,25,1,1,
Act-5007-7,0,0,0,7,0,1,50,25,1,1,
Act-5008-8,0,1,1,8,0,1,50,25,1,1,
Act-5008-8,0,2,2,8,0,1,50,25,1,1,
Act-5008-8,0,3,3,8,0,1,50,25,1,1,
Act-5008-8,0,0,0,8,0,1,50,25,1,1,
Act-5009-9,0,1,1,9,0,1,50,25,1,1,
Act-5009-9,0,2,2,9,0,1,50,25,1,1,
Act-5009-9,0,3,3,9,0,1,50,25,1,1,
Act-5009-9,0,0,0,9,0,1,50,25,1,1,
Act-5010-10,0,1,1,10,0,1,50,25,1,1,
Act-5010-10,0,2,2,10,0,1,50,25,1,1,
Act-5010-10,0,3,3,10,0,1,50,25,1,1,
Act-5010-10,0,0,0,10,0,1,50,25,1,1,
Act-5011-11,0,1,1,11,0,1,50,25,1,1,
Act-5011-11,0,2,2,11,0,1,50,25,1,1,
Act-5011-11,0,3,3,11,0,1,50,25,1,1,
Act-5011-11,0,0,0,11,0,1,50,25,1,1,
Act-5012-12,0,1,1,12,0,1,50,25,1,1,
Act-5012-12,0,2,2,12,0,1,50,25,1,1,
Act-5012-12,0,3,3,12,0,1,50,25,1,1,
Act-5012-12,0,0,0,12,0,1,50,25,1,1,
Act-5013-13,0,1,1,13,0,1,50,25,1,1,
Act-5013-13,0,2,2,13,0,1,50,25,1,1,
Act-5013-13,0,3,3,13,0,1,50,25,1,1,
Act-5013-13,0,0,0,13,0,1,50,25,1,1,
Act-5014-14,0,1,1,14,0,1,50,25,1,1,
Act-5014-14,0,2,2,14,0,1,50,25,1,1,
Act-5014-14,0,3,3,14,0,1,50,25,1,1,
Act-5014-14,0,0,0,14,0,1,50,25,1,1,
Act-5015-15,0,1,1,15,0,1,50,25,1,1,
Act-5015-15,0,2,2,15,0,1,50,25,1,1,
Act-5015-15,0,3,3,15,0,1,50,25,1,1,
Act-5015-15,0,0,0,15,0,1,50,25,1,1,
Act-5016-16,0,1,1,16,0,1,50,25,1,1,
Act-5016-16,0,2,2,16,0,1,50,25,1,1,
Act-5016-16,0,3,3,16,0,1,50,25,1,1,
Act-5016-16,0,0,0,16,0,1,50,25,1,1,
Act-5017-17,0,1,1,17,0,1,50,25,1,1,
Act-5017-17,0,2,2,17,0,1,50,25,1,1,
