Time.[FiscalWeekKey],Location.[LocationKey],Activity.[ActivityKey],Item.[ItemKey],Version.[VersionKey],Transport.[TransportKey],Product.[ProductKey],Material Production Planned WIP
W0-2017,0,Act-5000-0,1,0,0,1,100
W1-2017,0,Act-5000-0,1,0,0,1,75
W2-2017,0,Act-5000-0,1,0,0,1,25
W3-2017,0,Act-5000-0,1,0,0,1,25
W0-2017,0,Act-5000-0,2,0,0,2,75
W1-2017,0,Act-5000-0,2,0,0,2,25
W2-2017,0,Act-5000-0,2,0,0,2,50
W3-2017,0,Act-5000-0,2,0,0,2,75
W0-2017,0,Act-5000-0,3,0,0,3,75
W1-2017,0,Act-5000-0,3,0,0,3,50
W2-2017,0,Act-5000-0,3,0,0,3,75
W3-2017,0,Act-5000-0,3,0,0,3,50
W0-2017,0,Act-5000-0,0,0,0,0,75
W1-2017,0,Act-5000-0,0,0,0,0,25
W2-2017,0,Act-5000-0,0,0,0,0,25
W3-2017,0,Act-5000-0,0,0,0,0,25
W0-2017,1,Act-5001-1,1,0,0,1,75
W1-2017,1,Act-5001-1,1,0,0,1,100
W2-2017,1,Act-5001-1,1,0,0,1,75
W3-2017,1,Act-5001-1,1,0,0,1,50
W0-2017,1,Act-5001-1,2,0,0,2,25
W1-2017,1,Act-5001-1,2,0,0,2,75
W2-2017,1,Act-5001-1,2,0,0,2,50
W3-2017,1,Act-5001-1,2,0,0,2,75
W0-2017,1,Act-5001-1,3,0,0,3,75
W1-2017,1,Act-5001-1,3,0,0,3,100
W2-2017,1,Act-5001-1,3,0,0,3,25
W3-2017,1,Act-5001-1,3,0,0,3,25
W0-2017,1,Act-5001-1,0,0,0,0,50
W1-2017,1,Act-5001-1,0,0,0,0,75
W2-2017,1,Act-5001-1,0,0,0,0,50
W3-2017,1,Act-5001-1,0,0,0,0,75
W0-2017,2,Act-5002-2,1,0,0,1,75
W1-2017,2,Act-5002-2,1,0,0,1,75
W2-2017,2,Act-5002-2,1,0,0,1,50
W3-2017,2,Act-5002-2,1,0,0,1,25
W0-2017,2,Act-5002-2,2,0,0,2,75
W1-2017,2,Act-5002-2,2,0,0,2,75
W2-2017,2,Act-5002-2,2,0,0,2,25
W3-2017,2,Act-5002-2,2,0,0,2,100
W0-2017,2,Act-5002-2,3,0,0,3,50
W1-2017,2,Act-5002-2,3,0,0,3,100
W2-2017,2,Act-5002-2,3,0,0,3,100
W3-2017,2,Act-5002-2,3,0,0,3,25
W0-2017,2,Act-5002-2,0,0,0,0,75
W1-2017,2,Act-5002-2,0,0,0,0,25
W2-2017,2,Act-5002-2,0,0,0,0,50
W3-2017,2,Act-5002-2,0,0,0,0,25
W0-2017,3,Act-5003-3,1,0,0,1,50
W1-2017,3,Act-5003-3,1,0,0,1,50
W2-2017,3,Act-5003-3,1,0,0,1,25
W3-2017,3,Act-5003-3,1,0,0,1,75
W0-2017,3,Act-5003-3,2,0,0,2,50
W1-2017,3,Act-5003-3,2,0,0,2,100
W2-2017,3,Act-5003-3,2,0,0,2,75
W3-2017,3,Act-5003-3,2,0,0,2,25
W0-2017,3,Act-5003-3,3,0,0,3,25
W1-2017,3,Act-5003-3,3,0,0,3,75
W2-2017,3,Act-5003-3,3,0,0,3,50
W3-2017,3,Act-5003-3,3,0,0,3,75
W0-2017,3,Act-5003-3,0,0,0,0,100
W1-2017,3,Act-5003-3,0,0,0,0,25
W2-2017,3,Act-5003-3,0,0,0,0,50
W3-2017,3,Act-5003-3,0,0,0,0,25
W0-2017,4,Act-5004-4,1,0,0,1,100
W1-2017,4,Act-5004-4,1,0,0,1,25
W2-2017,4,Act-5004-4,1,0,0,1,100
W3-2017,4,Act-5004-4,1,0,0,1,25
W0-2017,4,Act-5004-4,2,0,0,2,75
W1-2017,4,Act-5004-4,2,0,0,2,25
W2-2017,4,Act-5004-4,2,0,0,2,50
W3-2017,4,Act-5004-4,2,0,0,2,100
W0-2017,4,Act-5004-4,3,0,0,3,100
W1-2017,4,Act-5004-4,3,0,0,3,75
W2-2017,4,Act-5004-4,3,0,0,3,25
W3-2017,4,Act-5004-4,3,0,0,3,50
W0-2017,4,Act-5004-4,0,0,0,0,100
W1-2017,4,Act-5004-4,0,0,0,0,50
W2-2017,4,Act-5004-4,0,0,0,0,100
W3-2017,4,Act-5004-4,0,0,0,0,75
W0-2017,5,Act-5005-5,1,0,0,1,75
W1-2017,5,Act-5005-5,1,0,0,1,25
W2-2017,5,Act-5005-5,1,0,0,1,100
W3-2017,5,Act-5005-5,1,0,0,1,25
W0-2017,5,Act-5005-5,2,0,0,2,50
W1-2017,5,Act-5005-5,2,0,0,2,100
W2-2017,5,Act-5005-5,2,0,0,2,25
W3-2017,5,Act-5005-5,2,0,0,2,100
W0-2017,5,Act-5005-5,3,0,0,3,100
W1-2017,5,Act-5005-5,3,0,0,3,25
W2-2017,5,Act-5005-5,3,0,0,3,100
W3-2017,5,Act-5005-5,3,0,0,3,25
W0-2017,5,Act-5005-5,0,0,0,0,25
W1-2017,5,Act-5005-5,0,0,0,0,50
W2-2017,5,Act-5005-5,0,0,0,0,25
W3-2017,5,Act-5005-5,0,0,0,0,25
W0-2017,6,Act-5006-6,1,0,0,1,50
W1-2017,6,Act-5006-6,1,0,0,1,75
W2-2017,6,Act-5006-6,1,0,0,1,25
W3-2017,6,Act-5006-6,1,0,0,1,75
W0-2017,6,Act-5006-6,2,0,0,2,50
W1-2017,6,Act-5006-6,2,0,0,2,50
W2-2017,6,Act-5006-6,2,0,0,2,50
W3-2017,6,Act-5006-6,2,0,0,2,25
W0-2017,6,Act-5006-6,3,0,0,3,100
W1-2017,6,Act-5006-6,3,0,0,3,25
W2-2017,6,Act-5006-6,3,0,0,3,75
W3-2017,6,Act-5006-6,3,0,0,3,100
W0-2017,6,Act-5006-6,0,0,0,0,75
W1-2017,6,Act-5006-6,0,0,0,0,50
W2-2017,6,Act-5006-6,0,0,0,0,50
W3-2017,6,Act-5006-6,0,0,0,0,100
W0-2017,7,Act-5007-7,1,0,0,1,75
W1-2017,7,Act-5007-7,1,0,0,1,100
W2-2017,7,Act-5007-7,1,0,0,1,100
W3-2017,7,Act-5007-7,1,0,0,1,100
W0-2017,7,Act-5007-7,2,0,0,2,50
W1-2017,7,Act-5007-7,2,0,0,2,50
