Storage.[StorageKey],Product.[ProductKey],Time.[FiscalWeekKey],Version.[VersionKey],Storage Availability,Band_1 Storage,Band_2 Storage
DC-5000,2,W0-2017,0,9600,960,960
DC-5000,2,W1-2017,0,9600,960,960
DC-5000,2,W2-2017,0,9600,960,960
DC-5000,2,W3-2017,0,9600,960,960
DC-5000,2,W4-2017,0,9600,960,960
DC-5000,2,W5-2017,0,9600,960,960
DC-5000,2,W6-2017,0,9600,960,960
DC-5000,2,W7-2017,0,9600,960,960
DC-5000,2,W8-2017,0,9600,960,960
DC-5000,2,W9-2017,0,9600,960,960
DC-5000,2,W10-2017,0,9600,960,960
DC-5000,2,W11-2017,0,9600,960,960
DC-5000,2,W12-2017,0,9600,960,960
DC-5000,2,W13-2017,0,9600,960,960
DC-5000,2,W14-2017,0,9600,960,960
DC-5000,2,W15-2017,0,9600,960,960
DC-5000,2,W16-2017,0,9600,960,960
DC-5000,2,W17-2017,0,9600,960,960
DC-5000,2,W18-2017,0,9600,960,960
DC-5000,2,W19-2017,0,9600,960,960
DC-5000,2,W20-2017,0,9600,960,960
DC-5000,2,W21-2017,0,9600,960,960
DC-5000,2,W22-2017,0,9600,960,960
DC-5000,2,W23-2017,0,9600,960,960
DC-5000,2,W24-2017,0,9600,960,960
DC-5000,2,W25-2017,0,9600,960,960
DC-5000,2,W26-2017,0,9600,960,960
DC-5000,2,W27-2017,0,9600,960,960
DC-5000,2,W28-2017,0,9600,960,960
DC-5000,2,W29-2017,0,9600,960,960
DC-5000,2,W30-2017,0,9600,960,960
DC-5000,2,W31-2017,0,9600,960,960
DC-5000,2,W32-2017,0,9600,960,960
DC-5000,2,W33-2017,0,9600,960,960
DC-5000,2,W34-2017,0,9600,960,960
DC-5000,2,W35-2017,0,9600,960,960
DC-5000,2,W36-2017,0,9600,960,960
DC-5000,2,W37-2017,0,9600,960,960
DC-5000,2,W38-2017,0,9600,960,960
DC-5000,2,W39-2017,0,9600,960,960
DC-5000,2,W40-2017,0,9600,960,960
DC-5000,2,W41-2017,0,9600,960,960
DC-5000,2,W42-2017,0,9600,960,960
DC-5000,2,W43-2017,0,9600,960,960
DC-5000,2,W44-2017,0,9600,960,960
DC-5000,2,W45-2017,0,9600,960,960
DC-5000,2,W46-2017,0,9600,960,960
DC-5000,2,W47-2017,0,9600,960,960
DC-5000,2,W48-2017,0,9600,960,960
DC-5000,2,W49-2017,0,9600,960,960
DC-5000,2,W50-2017,0,9600,960,960
DC-5000,2,W51-2017,0,9600,960,960
DC-5000,2,W52-2017,0,9600,960,960
DC-5000,2,W1-2018,0,9600,960,960
DC-5000,2,W2-2018,0,9600,960,960
DC-5000,2,W3-2018,0,9600,960,960
DC-5000,2,W4-2018,0,9600,960,960
DC-5000,2,W5-2018,0,9600,960,960
